Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,107.779999,108.440002,107.779999,108.18,18612300,108.18
2016-08-11,108.519997,108.93,107.849998,107.93,27484500,107.93
2016-08-10,108.709999,108.900002,107.760002,108.00,24008500,108.00
2016-08-09,108.230003,108.940002,108.010002,108.809998,26315200,108.809998
2016-08-08,107.519997,108.370003,107.160004,108.370003,28037200,108.370003
2016-08-05,106.269997,107.650002,106.18,107.480003,40553400,107.480003
2016-08-04,105.580002,106.00,105.279999,105.870003,27408700,105.870003
2016-08-03,104.809998,105.839996,104.769997,105.790001,30202600,105.220002
2016-08-02,106.050003,106.07,104.00,104.480003,33816600,103.917063
2016-08-01,104.410004,106.150002,104.410004,106.050003,38167900,105.478603
2016-07-29,104.190002,104.550003,103.68,104.209999,27733700,103.648513
2016-07-28,102.830002,104.449997,102.82,104.339996,39869800,103.77781
2016-07-27,104.269997,104.349998,102.75,102.949997,92344800,102.3953
2016-07-26,96.82,97.970001,96.419998,96.669998,56239800,96.149138
2016-07-25,98.25,98.839996,96.919998,97.339996,40382900,96.815526
2016-07-22,99.260002,99.300003,98.309998,98.660004,28313700,98.128421
2016-07-21,99.830002,101.00,99.129997,99.43,32702000,98.894269
2016-07-20,100.00,100.459999,99.739998,99.959999,26276000,99.421412
2016-07-19,99.559998,100.00,99.339996,99.870003,23779900,99.331901
2016-07-18,98.699997,100.129997,98.599998,99.830002,36493900,99.292116
2016-07-15,98.919998,99.300003,98.50,98.779999,30137000,98.24777
2016-07-14,97.389999,98.989998,97.32,98.790001,38919000,98.257718
2016-07-13,97.410004,97.669998,96.839996,96.870003,25892200,96.348065
2016-07-12,97.169998,97.699997,97.120003,97.419998,24167500,96.895097
2016-07-11,96.75,97.650002,96.730003,96.980003,23794900,96.457473
2016-07-08,96.489998,96.889999,96.050003,96.68,28912100,96.159086
2016-07-07,95.699997,96.50,95.620003,95.940002,25139600,95.423076
2016-07-06,94.599998,95.660004,94.370003,95.529999,30949100,95.015281
2016-07-05,95.389999,95.400002,94.459999,94.989998,27705200,94.47819
2016-07-01,95.489998,96.470001,95.330002,95.889999,26026500,95.373342
2016-06-30,94.440002,95.769997,94.300003,95.599998,35836400,95.084904
2016-06-29,93.970001,94.550003,93.629997,94.400002,36531000,93.891372
2016-06-28,92.900002,93.660004,92.139999,93.589996,40444900,93.085731
2016-06-27,93.00,93.050003,91.50,92.040001,45489600,91.544087
2016-06-24,92.910004,94.660004,92.650002,93.400002,75311400,92.89676
2016-06-23,95.940002,96.290001,95.25,96.099998,32240200,95.58221
2016-06-22,96.25,96.889999,95.349998,95.550003,29219100,95.035178
2016-06-21,94.940002,96.349998,94.68,95.910004,35546400,95.393239
2016-06-20,96.00,96.57,95.029999,95.099998,34411900,94.587598
2016-06-17,96.620003,96.650002,95.300003,95.330002,61008200,94.816362
2016-06-16,96.449997,97.75,96.07,97.550003,31326800,97.024402
2016-06-15,97.82,98.410004,97.029999,97.139999,29445200,96.616607
2016-06-14,97.32,98.480003,96.75,97.459999,31931900,96.934883
2016-06-13,98.690002,99.120003,97.099998,97.339996,38020500,96.815526
2016-06-10,98.529999,99.349998,98.480003,98.830002,31712900,98.297504
2016-06-09,98.50,99.989998,98.459999,99.650002,26601400,99.113085
2016-06-08,99.019997,99.559998,98.68,98.940002,20848100,98.406912
2016-06-07,99.25,99.870003,98.959999,99.029999,22409500,98.496423
2016-06-06,97.989998,101.889999,97.550003,98.629997,23292500,98.098577
2016-06-03,97.790001,98.269997,97.449997,97.919998,28504900,97.392403
2016-06-02,97.599998,97.839996,96.629997,97.720001,40191600,97.193484
2016-06-01,99.019997,99.540001,98.330002,98.459999,29173300,97.929494
2016-05-31,99.599998,100.400002,98.82,99.860001,42307200,99.321953
2016-05-27,99.440002,100.470001,99.25,100.349998,36341200,99.809311
2016-05-26,99.68,100.730003,98.639999,100.410004,56331200,99.868992
2016-05-25,98.669998,99.739998,98.110001,99.620003,38168800,99.083248
2016-05-24,97.220001,98.089996,96.839996,97.900002,35140200,97.372514
2016-05-23,95.870003,97.190002,95.669998,96.43,38018600,95.910433
2016-05-20,94.639999,95.43,94.519997,95.220001,32026000,94.706954
2016-05-19,94.639999,94.639999,93.57,94.199997,30442100,93.692445
2016-05-18,94.160004,95.209999,93.889999,94.559998,42062400,94.050506
2016-05-17,94.550003,94.699997,93.010002,93.489998,46916900,92.986272
2016-05-16,92.389999,94.389999,91.650002,93.879997,61259800,93.37417
2016-05-13,90.00,91.669998,90.00,90.519997,44392800,90.032273
2016-05-12,92.720001,92.779999,89.470001,90.339996,76314700,89.853242
2016-05-11,93.480003,93.57,92.459999,92.510002,28719100,92.011556
2016-05-10,93.330002,93.57,92.110001,93.419998,33686800,92.916649
2016-05-09,93.00,93.769997,92.589996,92.790001,32936400,92.290046
2016-05-06,93.370003,93.449997,91.849998,92.720001,43699900,92.220424
2016-05-05,94.00,94.07,92.68,93.239998,35890500,92.737619
2016-05-04,95.199997,95.900002,93.82,94.190002,41025500,93.115575
2016-05-03,94.199997,95.739998,93.68,95.18,56831300,94.09428
2016-05-02,93.970001,94.080002,92.400002,93.639999,48160100,92.571846
2016-04-29,93.989998,94.720001,92.510002,93.739998,68531500,92.670704
2016-04-28,97.610001,97.879997,94.25,94.830002,82242700,93.748274
2016-04-27,96.00,98.709999,95.68,97.82,114602100,96.704165
2016-04-26,103.910004,105.300003,103.910004,104.349998,56016200,103.159676
2016-04-25,105.00,105.650002,104.510002,105.080002,28031600,103.881352
2016-04-22,105.010002,106.480003,104.620003,105.68,33683100,104.474507
2016-04-21,106.93,106.93,105.519997,105.970001,31552500,104.7612
2016-04-20,106.639999,108.089996,106.059998,107.129997,30611000,105.907963
2016-04-19,107.879997,108.00,106.230003,106.910004,32384900,105.690479
2016-04-18,108.889999,108.949997,106.940002,107.480003,60821500,106.253977
2016-04-15,112.110001,112.300003,109.730003,109.849998,46939000,108.596938
2016-04-14,111.620003,112.389999,111.330002,112.099998,25473900,110.821272
2016-04-13,110.800003,112.339996,110.800003,112.040001,33257300,110.761959
2016-04-12,109.339996,110.50,108.660004,110.440002,27232300,109.180211
2016-04-11,108.970001,110.610001,108.830002,109.019997,29407500,107.776404
2016-04-08,108.910004,109.769997,108.169998,108.660004,23581700,107.420517
2016-04-07,109.949997,110.419998,108.120003,108.540001,31801900,107.301883
2016-04-06,110.230003,110.980003,109.199997,110.959999,26404100,109.694276
2016-04-05,109.510002,110.730003,109.419998,109.809998,26578700,108.557393
2016-04-04,110.419998,112.190002,110.269997,111.120003,37356200,109.852455
2016-04-01,108.779999,110.00,108.199997,109.989998,25874000,108.73534
2016-03-31,109.720001,109.900002,108.879997,108.989998,25888400,107.746747
2016-03-30,108.650002,110.419998,108.599998,109.559998,45601100,108.310245
2016-03-29,104.889999,107.790001,104.879997,107.68,31190100,106.451693
2016-03-28,106.00,106.190002,105.059998,105.190002,19411400,103.990098
2016-03-24,105.470001,106.25,104.889999,105.669998,26133000,104.464619
2016-03-23,106.480003,107.07,105.900002,106.129997,25703500,104.91937
2016-03-22,105.25,107.290001,105.209999,106.720001,32444400,105.502644
2016-03-21,105.93,107.650002,105.139999,105.910004,35502700,104.701886
2016-03-18,106.339996,106.50,105.190002,105.919998,44205200,104.711767
2016-03-17,105.519997,106.470001,104.959999,105.800003,34420700,104.593141
2016-03-16,104.610001,106.309998,104.589996,105.970001,38303500,104.7612
2016-03-15,103.959999,105.18,103.849998,104.580002,40067700,103.387056
2016-03-14,101.910004,102.910004,101.779999,102.519997,25076100,101.350549
2016-03-11,102.239998,102.279999,101.50,102.260002,27408200,101.09352
2016-03-10,101.410004,102.239998,100.150002,101.169998,33513600,100.01595
2016-03-09,101.309998,101.580002,100.269997,101.120003,27201700,99.966525
2016-03-08,100.779999,101.760002,100.400002,101.029999,31561900,99.877548
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,100.70797
2016-03-04,102.370003,103.75,101.370003,103.010002,46055100,101.834965
2016-03-03,100.580002,101.709999,100.449997,101.50,36955700,100.342188
2016-03-02,100.510002,100.889999,99.639999,100.75,33169600,99.600743
2016-03-01,97.650002,100.769997,97.419998,100.529999,50407100,99.383251
2016-02-29,96.860001,98.230003,96.650002,96.690002,35216300,95.587058
2016-02-26,97.199997,98.019997,96.580002,96.910004,28991100,95.80455
2016-02-25,96.050003,96.760002,95.25,96.760002,27582700,95.656259
2016-02-24,93.980003,96.379997,93.32,96.099998,36255700,95.003784
2016-02-23,96.400002,96.50,94.550003,94.690002,31942600,93.609872
2016-02-22,96.309998,96.900002,95.919998,96.879997,34280800,95.774885
2016-02-19,96.00,96.760002,95.800003,96.040001,35374200,94.944471
2016-02-18,98.839996,98.889999,96.089996,96.260002,39021000,95.161963
2016-02-17,96.669998,98.209999,96.150002,98.120003,44863200,97.000746
2016-02-16,95.019997,96.849998,94.610001,96.639999,49057900,95.537625
2016-02-12,94.190002,94.50,93.010002,93.989998,40351400,92.917852
2016-02-11,93.790001,94.720001,92.589996,93.699997,50074700,92.631159
2016-02-10,95.919998,96.349998,94.099998,94.269997,42343600,93.194657
2016-02-09,94.290001,95.940002,93.93,94.989998,44331200,93.906445
2016-02-08,93.129997,95.699997,93.040001,95.010002,54021400,93.926221
2016-02-05,96.519997,96.919998,93.690002,94.019997,46418100,92.947509
2016-02-04,95.860001,97.330002,95.190002,96.599998,46471700,95.498081
2016-02-03,95.00,96.839996,94.080002,96.349998,45964300,94.736862
2016-02-02,95.419998,96.040001,94.279999,94.480003,37357200,92.898175
2016-02-01,96.470001,96.709999,95.400002,96.43,40943500,94.815524
2016-01-29,94.790001,97.339996,94.349998,97.339996,64416500,95.710285
2016-01-28,93.790001,94.519997,92.389999,94.089996,55678800,92.514698
2016-01-27,96.040001,96.629997,93.339996,93.419998,133369700,91.855917
